token,importance
Awesome,0.12299703267247726
awesome,0.10824923069837193
loved,0.09678688307758421
Congratulations,0.08912489927509644
happy,0.0879101321431032
Amazing,0.08632575006534655
Love,0.08471786029015978
LOVE,0.08435738393260787
impressed,0.08183867286425084
Happy,0.07690649543009286
amazing,0.07497012889868562
Exc,0.0737235249641041
Great,0.07129631277941238
Good,0.07054893954450057
exciting,0.06892920164197373
inspiration,0.06806262858056775
brilliant,0.06690646362646173
spying,0.06685440145277728
glad,0.06586500036064535
excellent,0.06577363198933502
